COM_ID,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,no_un_acuicolas,area_acui_km2,tot_captura_loc,tot_valor_loc,tot_captura_mun,tot_valor_mun,COM_MUN,pob_mun,tot_captura_mun_per_capita,tot_captura_loc_per_capita,tot_pob_mun,num_permisos_pesca_mun,permisos_pesca_per_capita_mun,num_permisos_acuicolas,permisos_acui_per_capita_mun,neg_acuicolas,neg_pesca,tot_ue,prop_acuicolas,prop_pesca,neg_acui_per_capita,neg_pesca_per_capita
4_1_2,4,campeche,1,calkini,2,isla arena,968,3,0.11728133709844947,10424.979,448993.097,10424.979,448993.097,4_1,5312,1.9625336972891565,10.769606404958678,5312,0,0,0,0,0,0,0,0,0,0,0
4_1_9,4,campeche,1,calkini,9,pucnachen,1031,0,0,0,0,10424.979,448993.097,4_1,5312,1.9625336972891565,0,5312,0,0,0,0,0,0,0,0,0,0,0
4_1_11,4,campeche,1,calkini,11,san nicolas,403,0,0,0,0,10424.979,448993.097,4_1,5312,1.9625336972891565,0,5312,0,0,0,0,0,0,0,0,0,0,0
4_1_12,4,campeche,1,calkini,12,santa cruz ex-hacienda,1421,0,0,0,0,10424.979,448993.097,4_1,5312,1.9625336972891565,0,5312,0,0,0,0,0,0,0,0,0,0,0
4_1_14,4,campeche,1,calkini,14,tankuche,1228,0,0,0,0,10424.979,448993.097,4_1,5312,1.9625336972891565,0,5312,0,0,0,0,0,0,0,0,0,0,0
4_1_16,4,campeche,1,calkini,16,santa maria,261,0,0,0,0,10424.979,448993.097,4_1,5312,1.9625336972891565,0,5312,0,0,0,0,0,0,0,0,0,0,0
4_2_1,4,campeche,2,campeche,1,san francisco de campeche,249623,1,0.010088166441269218,18402.67184,1055211.5734,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0.07372185992476654,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,3,0,13727,2.185473883587091e-4,0,1.2018123329981613e-5,0
4_2_68,4,campeche,2,campeche,68,uayamon,309,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_70,4,campeche,2,campeche,70,bethania,1280,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_71,4,campeche,2,campeche,71,san antonio bobola,212,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_73,4,campeche,2,campeche,73,castamay,1266,0,0,2314.0713,105540.09300000001,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,1.8278604265402845,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_75,4,campeche,2,campeche,75,chemblas,588,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,1,0,1,1,0,0.0017006802721088435,0
4_2_77,4,campeche,2,campeche,77,china,6295,0,0,2298.539,124647.294,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0.3651372517871327,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,1,0,335,0.0029850746268656717,0,1.5885623510722796e-4,0
4_2_81,4,campeche,2,campeche,81,hampolol,1221,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_82,4,campeche,2,campeche,82,hobomo,344,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_86,4,campeche,2,campeche,86,imi,1651,0,0,10661.606300000001,552280.887,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,6.457665838885525,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_87,4,campeche,2,campeche,87,lerma,8971,1,0.010088166441269218,10762.18254,657463.2504,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,1.1996636428491807,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_89,4,campeche,2,campeche,89,mucuychakan,197,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_90,4,campeche,2,campeche,90,nilchi,1076,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_93,4,campeche,2,campeche,93,san agustin ola,197,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_97,4,campeche,2,campeche,97,pocyaxum,542,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_101,4,campeche,2,campeche,101,san francisco koben,1292,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,1,0,1,1,0,0.00077399380804953565,0
4_2_178,4,campeche,2,campeche,178,ensenada,13,4,0.16545586411367358,17051.6635,376179.7032,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,1311.666423076923,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,1,0,1,1,0,0.07692307692307693,0
4_2_200,4,campeche,2,campeche,200,horticultores de koben,47,0,0,680.1793,28646.181,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,14.4719,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_249,4,campeche,2,campeche,249,miguel aleman (x-campeu),73,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_326,4,campeche,2,campeche,326,mar azul,12,5,0.17554403055494278,7450.48754,497721.0184,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,620.8739616666667,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_329,4,campeche,2,campeche,329,club nautico y deportivo de campeche,12,5,0.17554403055494278,7450.48754,497721.0184,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,620.8739616666667,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_402,4,campeche,2,campeche,402,san francisco uxmal,11,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_501,4,campeche,2,campeche,501,nuevo san antonio ebula,94,0,0,10661.606300000001,552280.887,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,113.4213436170213,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_520,4,campeche,2,campeche,520,la palma,11,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_585,4,campeche,2,campeche,585,nueva esperanza,14,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_875,4,campeche,2,campeche,875,san francisco,23,0,0,0,0,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,0,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_2_960,4,campeche,2,campeche,960,seet ka'an (rincon del cielo),12,0,0,10661.606300000001,552280.887,18406.87184,1055275.2734,4_2,275386,0.06684025999869274,888.4671916666667,275386,344,0.0012491557305019136,6,2.1787599950614772e-5,0,0,0,0,0,0,0
4_3_1,4,campeche,3,carmen,1,ciudad del carmen,191238,0,0,9069.161,472336.635,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.04742342526066995,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,6,0,9846,6.093845216331506e-4,0,3.137451761679164e-5,0
4_3_5,4,campeche,3,carmen,5,nuevo progreso,5266,0,0,99.48,3375.557,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.01889099886061527,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,16,7,364,0.04395604395604396,0.019230769230769232,0.0030383592859855677,0.001329282187618686
4_3_6,4,campeche,3,carmen,6,atasta,2712,0,0,1208.8,19660.831,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.4457227138643068,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,4,0,162,0.024691358024691357,0,0.0014749262536873156,0
4_3_7,4,campeche,3,carmen,7,santa isabel,7,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_13,4,campeche,3,carmen,13,puerto rico,676,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,3,4,7,0.42857142857142855,0.5714285714285714,0.004437869822485207,0.005917159763313609
4_3_16,4,campeche,3,carmen,16,el playaso,8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_31,4,campeche,3,carmen,31,santa rita,266,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_55,4,campeche,3,carmen,55,bahamita [jaibera],53,0,0,381.09,5704.688,36669.6333,947639.38067,4_3,238586,0.15369566236074203,7.190377358490566,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_64,4,campeche,3,carmen,64,ignacio gutierrez,893,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_65,4,campeche,3,carmen,65,jose maria pino suarez,336,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_82,4,campeche,3,carmen,82,calax,136,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_101,4,campeche,3,carmen,101,san antonio cardenas,4606,0,0,99.48,3375.557,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.021597915762049502,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,9,9,265,0.033962264150943396,0.033962264150943396,0.0019539730785931393,0.0019539730785931393
4_3_118,4,campeche,3,carmen,118,nuevo campechito,470,0,0,573.076,30380.641,36669.6333,947639.38067,4_3,238586,0.15369566236074203,1.2193106382978725,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_199,4,campeche,3,carmen,199,isla aguada,7620,1,3.535943678617477e-4,17037.5253,259209.13767000003,36669.6333,947639.38067,4_3,238586,0.15369566236074203,2.2358957086614173,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,2,0,511,0.003913894324853229,0,2.6246719160104987e-4,0
4_3_262,4,campeche,3,carmen,262,colonia emiliano zapata,1454,0,0,0.5,15,36669.6333,947639.38067,4_3,238586,0.15369566236074203,3.43878954607978e-4,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,3,5,8,0.375,0.625,0.0020632737276478678,0.0034387895460797797
4_3_364,4,campeche,3,carmen,364,independencia,443,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,1,0,1,1,0,0.002257336343115124,0
4_3_450,4,campeche,3,carmen,450,nohan,25,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_611,4,campeche,3,carmen,611,checubul,1776,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_612,4,campeche,3,carmen,612,la cristalina,810,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,3,0,3,1,0,0.003703703703703704,0
4_3_613,4,campeche,3,carmen,613,nicolas bravo,334,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_614,4,campeche,3,carmen,614,sabancuy,7744,4,0.07805106615073606,8302.606,157074.266,36669.6333,947639.38067,4_3,238586,0.15369566236074203,1.0721340392561982,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,2,0,536,0.0037313432835820895,0,2.5826446280991736e-4,0
4_3_733,4,campeche,3,carmen,733,bella palizada,14,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_756,4,campeche,3,carmen,756,la bretana,6,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_760,4,campeche,3,carmen,760,buena vista (las arboleras),7,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_811,4,campeche,3,carmen,811,centauro del norte,250,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_830,4,campeche,3,carmen,830,la nueva esperanza,287,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,1,0,1,1,0,0.003484320557491289,0
4_3_1138,4,campeche,3,carmen,1138,los manantiales,129,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,2,0,2,1,0,0.015503875968992248,0
4_3_1167,4,campeche,3,carmen,1167,mina de oro,12,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1285,4,campeche,3,carmen,1285,polboxal,11,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1340,4,campeche,3,carmen,1340,el recuerdo,11,0,0,570.971,30278.266,36669.6333,947639.38067,4_3,238586,0.15369566236074203,51.906454545454544,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1351,4,campeche,3,carmen,1351,ribera de san francisco,72,0,0,58.897,1516.5,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.8180138888888888,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1404,4,campeche,3,carmen,1404,san benito,14,0,0,381.09,5704.688,36669.6333,947639.38067,4_3,238586,0.15369566236074203,27.220714285714283,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1539,4,campeche,3,carmen,1539,santa cruz,99,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1717,4,campeche,3,carmen,1717,pinzon,14,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1722,4,campeche,3,carmen,1722,la envidia,7,0,0,570.971,30278.266,36669.6333,947639.38067,4_3,238586,0.15369566236074203,81.56728571428572,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1776,4,campeche,3,carmen,1776,oxcabal,778,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1830,4,campeche,3,carmen,1830,el fenix (ecoparque),7,0,0,8453.012,392013.267,36669.6333,947639.38067,4_3,238586,0.15369566236074203,1207.573142857143,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_1843,4,campeche,3,carmen,1843,cocodrilos maya,21,0,0,381.09,5704.688,36669.6333,947639.38067,4_3,238586,0.15369566236074203,18.147142857142857,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,1,0,1,1,0,0.047619047619047616,0
4_3_1847,4,campeche,3,carmen,1847,ensenada grande,18,1,3.535943678617477e-4,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2044,4,campeche,3,carmen,2044,san manuel,15,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2221,4,campeche,3,carmen,2221,ribera media san francisco,56,0,0,58.897,1516.5,36669.6333,947639.38067,4_3,238586,0.15369566236074203,1.051732142857143,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2222,4,campeche,3,carmen,2222,ribera alta san francisco,11,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2248,4,campeche,3,carmen,2248,generalisimo morelos,65,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2249,4,campeche,3,carmen,2249,valle de solidaridad,26,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2250,4,campeche,3,carmen,2250,murallas de campeche,117,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2251,4,campeche,3,carmen,2251,fernando foglio miramontes,169,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2268,4,campeche,3,carmen,2268,beraca,29,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2724,4,campeche,3,carmen,2724,careyes (huarixe),13,1,3.535943678617477e-4,17037.5253,259209.13767000003,36669.6333,947639.38067,4_3,238586,0.15369566236074203,1310.5788692307692,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_2978,4,campeche,3,carmen,2978,san fernando,37,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3080,4,campeche,3,carmen,3080,el zapote,133,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3140,4,campeche,3,carmen,3140,san joaquin,11,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3155,4,campeche,3,carmen,3155,juan de la cabada vera,542,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3191,4,campeche,3,carmen,3191,san jose las flores,15,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3194,4,campeche,3,carmen,3194,san luis,28,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3217,4,campeche,3,carmen,3217,el aguacatal,1353,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3230,4,campeche,3,carmen,3230,don paco,10,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3257,4,campeche,3,carmen,3257,el recuerdo,15,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3260,4,campeche,3,carmen,3260,las gemelas [quinta],15,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3304,4,campeche,3,carmen,3304,enrique rodriguez cano,487,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3318,4,campeche,3,carmen,3318,la estrella,18,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3333,4,campeche,3,carmen,3333,mamantel (pancho villa),1417,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3354,4,campeche,3,carmen,3354,ignacio zaragoza,387,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3395,4,campeche,3,carmen,3395,licenciado gustavo diaz ordaz (18 de marzo),1374,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3402,4,campeche,3,carmen,3402,mamantel pueblo (mamantel viejo),81,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,1,0,1,1,0,0.012345679012345678,0
4_3_3407,4,campeche,3,carmen,3407,mayalam [rancho],8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3420,4,campeche,3,carmen,3420,nueva chontalpa,755,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3431,4,campeche,3,carmen,3431,ojo de agua de cuyoc,9,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3452,4,campeche,3,carmen,3452,pital nuevo,613,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3453,4,campeche,3,carmen,3453,pital viejo,314,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3461,4,campeche,3,carmen,3461,el porvenir,34,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3474,4,campeche,3,carmen,3474,puerta blanca,16,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3511,4,campeche,3,carmen,3511,san antonio,8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3514,4,campeche,3,carmen,3514,san carlos,8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3531,4,campeche,3,carmen,3531,san isidro,585,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3533,4,campeche,3,carmen,3533,san jorge de coyoc,90,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3580,4,campeche,3,carmen,3580,kilometro 59,81,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3604,4,campeche,3,carmen,3604,santa lucia,8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3644,4,campeche,3,carmen,3644,la victoria,8,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3771,4,campeche,3,carmen,3771,bahamita beach,17,0,0,381.09,5704.688,36669.6333,947639.38067,4_3,238586,0.15369566236074203,22.41705882352941,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3781,4,campeche,3,carmen,3781,el arca,141,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3804,4,campeche,3,carmen,3804,los coquitos,7,0,0,0,0,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
4_3_3848,4,campeche,3,carmen,3848,la flor,14,0,0,0.5,15,36669.6333,947639.38067,4_3,238586,0.15369566236074203,0.03571428571428571,238586,82,3.4369158290930733e-4,5,2.0956803835933374e-5,0,0,0,0,0,0,0
